rank,feasible,pv_kw,wind_kw,dg_kw,batt_kwh,elz_kw,gas_storage_m3,npc,lpsp_pct,gas_violation
1,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
2,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
3,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
4,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
5,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
6,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
7,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
8,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
9,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
10,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
11,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
12,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
13,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
14,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
15,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
16,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
17,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
18,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
19,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
20,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
21,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
22,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
23,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
24,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
25,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
26,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
27,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
28,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
29,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
30,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
31,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
32,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
33,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
34,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
35,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
36,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
37,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
38,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
39,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
40,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
41,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
42,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
43,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
44,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
45,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
46,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
47,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
48,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
49,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
50,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
51,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
52,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
53,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
54,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
55,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
56,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
57,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
58,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
59,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
60,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
61,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
62,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
63,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
64,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
65,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
66,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
67,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
68,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
69,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
70,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
71,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
72,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
73,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
74,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
75,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
76,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
77,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
78,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
79,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
80,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
81,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
82,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
83,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
84,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
85,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
86,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
87,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
88,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
89,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
90,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
91,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
92,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
93,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
94,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
95,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
96,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
97,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
98,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
99,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
100,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
101,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
102,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
103,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
104,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
105,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
106,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
107,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
108,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
109,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
110,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
111,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
112,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
113,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
114,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
115,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
116,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
117,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
118,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
119,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
120,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
121,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
122,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
123,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
124,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
125,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
126,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
127,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
128,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
129,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
130,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
131,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
132,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
133,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
134,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
135,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
136,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
137,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
138,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
139,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
140,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
141,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
142,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
143,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
144,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
145,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
146,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
147,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
148,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
149,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
150,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
151,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
152,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
153,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
154,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
155,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
156,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
157,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
158,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
